eventID	campaign	station	transect	number	site	eventDurationValue	samplingEffortValue	verbatimSiteNames	eventDurationUnit	samplingEffortUnit	targetHabitatScope	verbatimTargetScope	protocolNames	protocolDescriptions	protocolReferences
TANGO2_ROV7_t1	TANGO2	MI_OS	t1	1	mid	16	96	MIS-m-1	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV7_t2	TANGO2	MI_OS	t2	2	mid	18	108	MIS-m-2	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV7_t3	TANGO2	MI_OS	t3	3	mid	18	108	MIS-m-3	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV8_t1	TANGO2	MI_OS	t1	4	mid		0	MIS-m-4	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV9_t1	TANGO2	MI_OS	t1	2	inner	15	90	MIS-i-2	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV9_t2	TANGO2	MI_OS	t2	3	inner	16	96	MIS-i-3	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV9_t3	TANGO2	MI_OS	t3	4	inner	9	54	MIS-i-4	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV10_t1	TANGO2	MI_OS	t1	1	outer	15	90	MIS-o-1	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV10_t2	TANGO2	MI_OS	t2	2	outer	15	90	MIS-o-2	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV10_t3	TANGO2	MI_OS	t3	3	outer	15	90	MIS-o-3	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV11_t1	TANGO2	HI	t1	1	boat	15	90		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV12_t1	TANGO2	HI	t1	2	boat	15	90		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV12_t2	TANGO2	HI	t2	3	boat	15	90		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV12_t3	TANGO2	HI	t3	4	boat	15	90		minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV13_t1	TANGO2	HI	t1	1	outside	15	90	HI-n-1	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV13_t2	TANGO2	HI	t2	2	outside	16	96	HI-n-2	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV13_t3	TANGO2	HI	t3	3	outside	15	90	HI-n-3	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV14_t1	TANGO2	HI	t1	1	channel	15	90	HI-c-1	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV14_q1	TANGO2	HI	q1	2	channel	19	NA	HI-c-2	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV14_t2	TANGO2	HI	t2	3	channel	15	90	HI-c-3	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV14_t3	TANGO2	HI	t3	4	channel	14	84	HI-c-4	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV15_t1	TANGO2	HI	t1	1	south pool	8	48	HI-s-1	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV15_t2	TANGO2	HI	t2	2	south pool	15	90	HI-s-2	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV15_t3	TANGO2	HI	t3	3	south pool	16	96	HI-s-3	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
TANGO2_ROV16_t1	TANGO2	FH	t1	1	boat	15	90	FH-b-1	minute	meter	benthic	Visible shallow-water Antarctic benthic fauna, macroalgae, and substrate features detectable from ROV imagery	ROV video transect survey	ROV video transect survey with image-based annotation of benthic organisms and substrate features. Methodological details in Danis et al. 2024 (https://doi.org/10.5281/zenodo.11653690) and Katz et al. 2026 (https://doi.org/10.1002/ece3.73392).	Danis, Bruno. “Report of the TANGO 2 Expedition to the West Antarctic Peninsula”. Zenodo, June 14, 2024. https://doi.org/10.5281/zenodo.11653690 | Katz, L., E.Mitchell, B.Danis, and H.Griffiths. 2026. “Microhabitat Patchiness Structures Benthic Biodiversity in the Western Antarctic Peninsula.” Ecology and Evolution16, no. 4: e73392. https://doi.org/10.1002/ece3.73392.
