header	vernacularName	scientificName	taxonRank	verbatimIdentification	confidence	mappingBasis
orange_holoth_msp4	orange sea cucumber	Holothuroidea	class	orange holothurian morphotype 4	high	header only
pale_yellow_ascidian_msp5	pale yellow ascidian	Ascidiacea	class	pale yellow ascidian morphotype 5	high	header only
parborlasia_aggr	ribbon worm	Parborlasia	genus	Parborlasia aggregate	high	header
parborlasia_corrugatus	Antarctic ribbon worm	Parborlasia corrugatus	species	parborlasia corrugatus	high	header/Table S1
pink_encr_algae	pink encrusting coralline alga	Leptophytum	genus	probably Leptophytum coulmanicum	medium	paper/Table S1 coralline algae; probable Leptophytum
pink_encr_algae_msp1	pink encrusting coralline alga	Leptophytum	genus	probably Leptophytum coulmanicum	medium	Table S1 probable identification
pink_star_msp1	pink sea star	Odontaster validus	species	pink star morphotype 1	high	paper/Table S1
pycnogonid_msp1	sea spider	Pycnogonida	class	pycnogonid morphotype 1	high	header only
red_brown_ascidian_msp4	red-brown ascidian	Ascidiacea	class	red-brown ascidian morphotype 4	high	header only
red_or_brown_sheet_algae	red or brown sheet alga			red or brown sheet algae	descriptive only	header only
red_or_brown_sheet_algae_msp0	red or brown sheet alga			red or brown sheet algae morphotype 0	descriptive only	Table S1
red_sheet_msp1	red sheet alga	Iridaea cordata	species	red sheet morphotype 1	high	paper/Table S1
skinny_white_star_msp12	skinny white star morphotype 12	Asteroidea	class	skinny_white_star_msp12	high	header only
skinny_yellow_star_msp10	skinny yellow star morphotype 10	Asteroidea	class	skinny_yellow_star_msp10	high	header only
small_pink_worm_msp1	small pink worm			small pink worm morphotype 1	descriptive only	header only
small_white_worm_msp2	small white worm			small white worm morphotype 2	descriptive only	Table S1
small_yellow_star_msp6	small yellow star morphotype 6	Asteroidea	class	small_yellow_star_msp6	high	header only
spiky_ball_sponge_msp6	spiky ball sponge	Porifera	phylum	spiky ball sponge morphotype 6	high	header only
spiky_massive_msp9	spiky massive morphotype			spiky massive morphotype 9	descriptive only	Table S1
spiky_yellow_msp7	spiky yellow sponge	Dendrilla antarctica	species	spiky yellow morphotype 7	high	paper/Table S1
sponges	sponges	Porifera	phylum	sponges	high	header only
starfish	sea stars	Asteroidea	class	starfish	high	header only
sun_star_msp2	sun star morphotype 2	Asteroidea	class	sun_star_msp2	high	header only
terebellidae	terebellid worm	Terebellidae	family	terebellid worms	high	Table S1
translucent_blob	translucent blob			translucent blob morphotype	descriptive only	header only
urchin_msp1	sea urchin	Sterechinus neumayeri	species	urchin morphotype 1	high	Table S1
wavy_msp3	wavy morphotype			wavy morphotype	descriptive only	header only
white_amphipod_msp1	white amphipod	Amphipoda	order	white amphipod morphotype 1	high	header only
white_anemone_msp3	white anemone	Actiniaria	order	white anemone morphotype 3	high	header/Table S1
white_ascidian_msp3	white ascidian	Ascidiacea	class	white ascidian morphotype 3	high	header only
white_bunny_msp1	white nudibranch	Doris	genus	Doris kerguelenensis	medium	Table S1 probable identification
white_holoth_msp2	white sea cucumber	Holothuroidea	class	white holothurian morphotype 2	high	header only
white_massive_msp10	massive white sponge	Porifera	phylum	white massive sponge morphotype 10	high	Table S1 calls it a sponge morphotype
white_porcupine_msp2	white porcupine morphotype			white porcupine morphotype 2	descriptive only	header only
white_snail	snail	Margarella antarctica	species	white snail	high	paper/Table S1
white_star_msp8	white star morphotype 8	Asteroidea	class	white_star_msp8	high	header only
worm	worm			worm	descriptive only	header only
yellow_anemone_msp2	yellow anemone	Actiniaria	order	yellow anemone morphotype 2	high	header only
yellow_ascidian_msp2	yellow ascidian	Ascidiacea	class	yellow ascidian morphotype 2	high	header only
yellow_blob_msp2	yellow blob			yellow blob morphotype 2	descriptive only	header only
yellow_brown_ascidian_msp1	yellow-brown ascidian	Ascidiacea	class	yellow-brown ascidian morphotype 1	high	header only
yellow_finger_msp8	yellow finger sponge	Porifera	phylum	yellow finger morphotype 8	medium	header likely sponge growth form
yellow_star_msp5	yellow star morphotype 5	Asteroidea	class	yellow_star_msp5	high	header only
